"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","10/251","105/11206",0.0952380952380952,4.25194460254221,5.06749509663308,0.000118528925369907,0.000875797059677649,0.000495260884053351,"246779/14961/14960/16161/50931/18018/15002/16453/15001/14969",10
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","10/251","112/11206",0.0892857142857143,3.98619806488332,4.80750938241373,0.000202798804862062,0.00145795897549483,0.000824471883226983,"12051/16985/56619/12370/18018/13654/14127/16391/18034/66824",10
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","9/251","95/11206",0.0947368421052632,4.22956594673936,4.78482420310481,0.000269875050675355,0.00188912535472748,0.0010682953121746,"14825/20307/15945/20296/20293/20292/20305/20306/16154",9
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","9/251","97/11206",0.0927835051546392,4.14235840144576,4.7047949575256,0.000315767124425463,0.00215369372044034,0.00121790801211188,"14283/16819/14825/15945/20296/20293/20292/12370/20306",9
"Organismal Systems","Immune system","mmu04672","Intestinal immune network for IgA production","6/251","43/11206",0.13953488372093,6.22959325488743,5.20053804032704,0.000361886971332302,0.00240654835935981,0.00136089663102131,"14961/14960/12524/15002/15001/14969",6
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","14/251","217/11206",0.0645161290322581,2.88034956946408,4.23375746549133,0.000375675526527042,0.00243730951356569,0.00137829198107205,"14825/20296/20293/22324/17087/24088/17969/12370/18018/11596/13058/13057/20344/66824",14
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","9/251","103/11206",0.087378640776699,3.90105597029358,4.47704181268436,0.000493676943186547,0.00305871768246585,0.00172969663091267,"14676/12259/12262/20296/20293/24088/12370/12260/12266",9
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection","14/251","223/11206",0.062780269058296,2.80285137476998,4.11612414936775,0.000494454362203127,0.00305871768246585,0.00172969663091267,"14963/14825/13555/16842/12370/18018/110557/12571/12524/16391/12266/14701/14173/15018",14
"Organismal Systems","Immune system","mmu04658","Th1 and Th2 cell differentiation","8/251","88/11206",0.0909090909090909,4.05867439333575,4.36011404209538,0.000776945912297571,0.00469699119707168,0.00265613590151665,"14961/14960/16161/18018/15002/16453/15001/14969",8
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection","10/251","136/11206",0.0735294117647059,3.28275134755097,4.05406634623432,0.00095403617340501,0.00563941382501628,0.00318907336540757,"19354/16822/20296/20293/22324/14131/18018/11867/320795/66824",10
"Organismal Systems","Immune system","mmu04666","Fc gamma R-mediated phagosome formation","8/251","94/11206",0.0851063829787234,3.79961007035687,4.12574096891503,0.00119950242265696,0.00693625313971198,0.00392243251336786,"19354/246256/14130/22324/14131/17969/11867/14129",8
"Organismal Systems","Development and regeneration","mmu04382","Cornified envelope formation","13/251","223/11206",0.0582959641255605,2.60264770514355,3.65903535609631,0.00153826675258438,0.00870593523803076,0.00492318298497751,"56460/58187/545975/68239/20753/386463/16678/239673/16663/12821/20195/20200/11686",13
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway","7/251","80/11206",0.0875,3.90647410358566,3.94892171056867,0.00205680546038587,0.0113981302596383,0.00644561203599094,"19354/14130/14728/22324/18018/68713/15170",7
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","8/251","118/11206",0.0677966101694915,3.02680802214869,3.35014504138332,0.00498789402386886,0.0270771389867167,0.0153120493429524,"12702/14825/22029/15945/12051/20296/20293/12370",8
"Organismal Systems","Immune system","mmu04611","Platelet activation","8/251","126/11206",0.0634920634920635,2.83462973502814,3.13473202469082,0.00735695103653771,0.0391389795143806,0.0221329877521771,"16822/19224/16398/14131/104110/14127/22371/239134",8
"Organismal Systems","Endocrine system","mmu04923","Regulation of lipolysis in adipocytes","5/251","58/11206",0.0862068965517241,3.84874295919769,3.29234533199003,0.00945182119213826,0.0492977340609564,0.0278777361525313,"11770/19224/104110/11832/16369",5
