Sample_Name,Condition,Time
UON-01,Glaucoma,2W
UON-02,Crush,2W
UON-03,Crush,2W
UON-04,Glaucoma,2W
UON-05,Crush,3D
UON-06,Crush,3D
UON-07,Glaucoma,3D
UON-08,Glaucoma,3D
UON-09,Glaucoma,6W
UON-10,Glaucoma,6W
UON-11,Control,0D
UON-12,Control,0D
