Sample_Name,Condition,Time
MON-01,Crush,2W
MON-02,Crush,2W
MON-03,Glaucoma,2W
MON-04,Glaucoma,2W
MON-05,Crush,3D
MON-06,Crush,3D
MON-07,Glaucoma,3D
MON-08,Glaucoma,3D
MON-09,Glaucoma,6W
MON-10,Glaucoma,6W
MON-11,Control,0D
MON-12,Control,0D
