GeneID	log2FoldChange	padj
N	-0.193049043820871	0.998003304127109
N	-2.24034447861303	NA
N	-0.0258041363103506	0.998003304127109
N	1.15979953005974	0.993366495578646
N	-0.0873204346772196	0.998003304127109
N	-0.365980883292259	0.998003304127109
N	1.87262284060929	NA
N	NA	NA
N	-0.440485388575451	0.998003304127109
N	-0.224933849666011	0.998003304127109
N	0.451428344684696	0.966482846924667
N	-0.195444089838541	0.998003304127109
N	-0.683288405006079	0.681681292019856
N	0.550135972100033	0.978612005817234
N	-0.178869811085569	0.998003304127109
N	0.561736710880686	0.998003304127109
N	NA	NA
N	-1.27974676507972	NA
N	-0.189179950985577	0.993366495578646
N	-0.691046083723898	0.769675971464574
N	0.204716515344397	0.998003304127109
N	0.827102305700252	0.633924369754892
N	-0.0781559823045033	0.998003304127109
N	2.15947049559696	0.916397283863917
N	-0.0910929201697043	0.998003304127109
N	-1.35162468457278	0.901371541868554
N	-0.395667101158633	0.998003304127109
N	-2.47666760619675	NA
N	0.158867703873372	0.998003304127109
N	0.599487334574349	0.998003304127109
N	1.10592652477995	0.314425424966091
N	-0.169814740152379	0.923386671742175
N	0.962812250997274	0.0538129651402851
N	1.28301809840583	0.0356241635525632
N	0	NA
N	1.42644191154943	NA
N	NA	NA
N	-0.220609378171876	0.998003304127109
N	0.00501975843267027	0.998496076438154
N	-0.31794765401713	0.998003304127109
N	-0.373828926646124	0.69301689340984
N	-0.620222032578615	0.998003304127109
N	-0.177734963383127	0.998003304127109
N	-0.0549694429228085	0.998003304127109
N	NA	NA
N	-0.163480311974694	0.998003304127109
N	0.043767748942053	0.998003304127109
N	0.11369338895944	0.998003304127109
N	-4.24365287933704	NA
N	NA	NA
N	-1.1675962258763	NA
N	0.74029409584901	NA
N	NA	NA
N	NA	NA
N	NA	NA
N	-0.102973673897208	NA
N	1.30795396651948	0.998003304127109
N	0.0580019403611501	0.998003304127109
N	5.09467988313198	NA
N	0.57603605873751	0.998003304127109
N	0.250614456508985	0.998003304127109
N	-0.428899212447557	NA
N	0.1436199520291	0.998003304127109
N	0.250890007349556	0.993366495578646
N	1.84194554377732	0.856030023523358
N	-0.572804181171852	0.998003304127109
N	0.829339217395744	0.965909775112822
N	0.206449583735375	0.998003304127109
N	-0.56826517999904	NA
N	-0.260746435337663	0.996237155850339
N	-0.102013299409548	0.998003304127109
N	0.472736149419172	0.966636318133936
N	NA	NA
N	0	NA
N	0.131906722537157	0.993366495578646
N	0.26132489288053	0.998003304127109
N	-3.07638915091567	NA
N	0.0392146556941816	0.998003304127109
N	1.57675803059982	0.334689371280665
N	-2.45091255819094	NA
N	-0.0674896917349637	0.998003304127109
N	0.278045247057076	0.896643765594123
N	-0.395127477204167	0.998003304127109
N	-0.0874179267784586	NA
N	0.273154933642766	0.658926079572337
N	1.02584797641912	0.361584041502881
N	-0.200965831651298	0.994113210447805
N	1.41914145060705	0.993659600316592
N	3.96030481247817	NA
N	-4.3954469711697	NA
N	1.22228119115646	NA
N	NA	NA
N	-0.0194502064787165	0.998003304127109
N	0	NA
N	-0.268501028647959	NA
N	0.692830786803804	0.189730183895298
N	0.0594660188816074	0.998003304127109
N	2.44203613395881	NA
N	-0.529799970133584	0.998003304127109
N	-0.696264234836443	0.998003304127109
N	-0.183440796141523	0.993366495578646
N	-1.52516711981487	NA
N	-0.217717944191388	0.989332009992298
N	-1.01438531083644	NA
N	NA	NA
N	0.423908929154519	0.926246936620251
N	0.527406404805217	0.994466994506777
N	0.57303095917142	0.606285918814509
N	0.557898455512248	0.926246936620251
N	0.454092927813425	0.97038378779586
N	-0.0211033254087923	0.998938091336334
N	-0.135640249272131	0.972768189214559
N	-0.107402247757509	0.998003304127109
N	0.249006065797139	0.921500614611896
N	0.0519074322979438	0.998003304127109
N	3.77733881452562	NA
N	-1.27912655434176	0.876718018433708
N	3.89702961125856	NA
N	NA	NA
N	-0.274457225325547	0.998003304127109
N	NA	NA
N	-0.669092027275877	NA
N	-0.562705481227087	0.970465561231203
N	-0.332097627429136	0.978612005817234
N	-0.366890480903525	0.766346090975003
N	1.22228119115646	NA
N	-0.00313893711459878	0.999262156816591
N	3.77684645232291	NA
N	1.16905307373788	0.427260221661417
N	-0.0841366915001282	0.998003304127109
N	-0.40578078331793	0.93750950995775
N	-0.436938902130239	0.993366495578646
N	-0.473758242556408	0.993741780604532
N	2.35773686731337	NA
N	0.104955144180902	0.998003304127109
N	-3.07634256236813	NA
N	-1.12255248484449	0.96985142944645
N	-0.13127270029714	0.982876251367067
N	5.2969717832651	NA
N	-0.0504015711967959	0.998003304127109
N	0.382991842024369	0.998003304127109
N	-0.131365291177643	0.998003304127109
N	0.00635684699856483	0.998787717862957
N	-0.624093178967998	0.998003304127109
N	-0.0137281665954698	0.998003304127109
